Anúncio,Preço,Stars
['CASA GRANDE em FLORIANÓPOLIS na PRAIA DA DANIELA'],"[' ', 'Preço:', 'R$499', '/noite']",['5.0']
['Cobertura Duplex com excelente vista e localização'],"[' ', 'Preço:', 'R$252', '/noite']",['4.83']
['Jurerê Apartamento Aconchegante perto de tudo!'],"[' ', 'Preço:', 'R$351', '/noite']",['5.0']
"['Casa de Jurere Int. pra 10 pessoas, com piscina']","[' ', 'Preço:', 'R$800', '/noite']",[]
['Apto 2 dorm a 200 m da praia Jurerê Internacional'],"[' ', 'Preço:', 'R$499', '/noite']",[]
['Apartamento 2 quartos Jurerê Floripa -Ed. Mykonos'],"[' ', 'Preço:', 'R$169', '/noite']",[]
"['Apartamento no Open Shopping, próximo da praia.']","[' ', 'Preço:', 'R$330', '/noite']",[]
['Casa Jurerê Internacional'],"[' ', 'Preço:', 'R$850', '/noite']",[]
['Casa na Daniela - 50 metros da Praia'],"[' ', 'Preço:', 'R$206', '/noite']",[]
['MELHOR CUSTO BENEFICIO  DE JURERÊ INTERNACIONAL'],"[' ', 'Preço:', 'R$1.501', '/noite']",['5.0']
['LINDA MANSÃO JURERÊ INTERNACIONAL'],"[' ', 'Preço:', 'R$1.031', '/noite']",['5.0']
['Bela cobertura  em Jurerê à 100 metros da praia'],"[' ', 'Preço:', 'R$751', '/noite']",[]
['Casa Praia da Daniela (dezembro - março)'],"[' ', 'Preço:', 'R$450', '/noite']",[]
['FEVEREIRO R$ 500 DIÁRIA NA DANIELA C/ PISCINA'],"[' ', 'Preço:', 'R$800', '/noite']",[]
['Apto 3 quartos Jurerê Internacional com piscina'],"[' ', 'Preço:', 'R$899', '/noite']",['4.75']
['Apto 2 qtos - Open Shopping - Jurerê Internacional'],"[' ', 'Preço:', 'R$400', '/noite']",[]
['Casa 4 suítes Jurere Internacional'],"[' ', 'Preço:', 'R$1.497', '/noite']",[]
['Lindo Apartamento Cobertura Jurerê Internacional'],"[' ', 'Preço:', 'R$499', '/noite']",[]
"['Casa 4 dormitórios, piscina']","[' ', 'Preço:', 'R$1.155', '/noite']",[]
['DUPLEX  melhor localizaçao de Jurere Internacional'],"[' ', 'Preço:', 'R$846', '/noite']",[]
